,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"97,040","31,746","3,080,631,840","31,747","3,080,728,880","16,061","1,558,559,440","15,686","1,522,169,440",375,1.18%,1.18%,16.98%,"36,390,000","36,390,000",,GBPCAD,AUDCAD,GBPJPY,AUDJPY,EURCAD,GBPNZD,AUDNZD,
EUR,"125,000","919,284","136,266,616,425","204,485","30,311,067,156","115,423","14,427,875,000","89,062","11,132,750,000","26,361",2.87%,12.89%,7.50%,"3,295,125,000","3,907,523,981",,42.30%,40.90%,37.60%,36.20%,31.50%,30.80%,29.30%,
GBP,"62,500","224,459","19,166,694,297","107,673","9,194,264,766","72,408","4,525,500,000","35,265","2,204,062,500","37,143",16.55%,34.50%,-9.78%,"2,321,437,500","3,171,663,984",,EURJPY,USDCAD,USDJPY,EURNZD,GBPCHF,CHFJPY,AUDCHF,
CAD,"100,000","227,204","16,582,029,532","104,076","7,595,778,708","25,930","2,593,000,000","78,146","7,814,600,000","-52,216",-22.98%,-50.17%,14.62%,"-5,221,600,000","-3,810,880,328",,26.80%,25.70%,21.00%,19.90%,19.20%,18.40%,17.80%,
AUD,"100,000","252,055","17,427,082,700","141,232","9,764,780,480","92,979","9,297,900,000","48,253","4,825,300,000","44,726",17.74%,31.67%,8.43%,"4,472,600,000","3,092,355,640",,GBPUSD,AUDUSD,NZDCAD,EURCHF,NZDJPY,EURUSD,USDCHF,
NZD,"100,000","85,552","5,099,241,408","43,172","2,573,223,888","15,757","1,575,700,000","27,415","2,741,500,000","-11,658",-13.63%,-27%,-15.45%,"-1,165,800,000","-694,863,432",,16.70%,15.20%,11.60%,8.40%,6.90%,5.90%,2.60%,
CHF,"125,000","96,111","15,444,557,145","18,363","2,950,842,285","8,819","1,102,375,000","9,544","1,193,000,000",-725,-0.75%,-3.95%,-3.76%,"-90,625,000","-116,503,875",,GBPAUD,CADJPY,EURAUD,EURGBP,NZDCHF,NZDUSD,CADCHF,
JPY,"12,500,000","300,726","24,208,443,000","175,934","14,162,687,000","52,084","651,050,000,000","123,850","1,548,125,000,000","-71,766",-23.86%,-40.79%,3.66%,"-897,075,000,000","-5,777,163,000",,1.40%,-4.70%,-9.40%,-10.80%,-11.50%,-14.10%,-23.10%,
SP500 (E-MINI),"265,000","1,897,461","502,827,165,000","650,094","172,274,910,000","111,546","29,559,690,000","538,548","142,715,220,000",-427002,-22.50%,-65.68%,-1.69%,"-113,155,530,000","-113,155,530,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","260,759","96,480,830,000","126,216","46,699,920,000","54,689","20,234,930,000","71,527","26,464,990,000",-16838,-6.46%,-13.34%,6.66%,"-6,230,060,000","-6,230,060,000",,,,,,,,,
US30 (YM),"200,000","70,906","14,181,200,000","44,903","8,980,600,000","15,307","3,061,400,000","29,596","5,919,200,000",-14289,-20.15%,-31.82%,-10.71%,"-2,857,800,000","-2,857,800,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of January 20, 2026 - COT Leveraged Funds >>> valid for trades from January 26, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,640","29,579","2,917,672,560","26,090","2,573,517,600","10,984","1,083,461,760","15,106","1,490,055,840","-4,122",-13.94%,-15.80%,-3.37%,"-406,594,080","-406,594,080",,GBPCAD,GBPJPY,AUDCAD,EURCAD,AUDJPY,GBPUSD,GBPNZD,
EUR,"125,000","880,948","128,011,655,065","189,910","27,596,059,488","100,073","12,509,125,000","89,837","11,229,625,000","10,236",1.16%,5.39%,-8.57%,"1,279,500,000","1,487,405,955",,54.50%,44.40%,44.00%,35.10%,33.80%,30.00%,27.90%,
GBP,"62,500","207,612","17,393,084,573","92,092","7,715,179,973","66,435","4,152,187,500","25,657","1,603,562,500","40,778",19.64%,44.28%,4.18%,"2,548,625,000","3,416,253,409",,NZDCAD,EURJPY,USDCAD,GBPCHF,CHFJPY,AUDUSD,AUDNZD,
CAD,"100,000","213,597","15,367,449,762","88,533","6,369,595,218","15,588","1,558,800,000","72,945","7,294,500,000","-57,357",-26.85%,-64.79%,-9.37%,"-5,735,700,000","-4,126,606,722",,26.60%,24.90%,24.50%,22.20%,22.10%,19.50%,17.40%,
AUD,"100,000","230,657","15,425,417,532","118,570","7,929,487,320","73,064","7,306,400,000","45,506","4,550,600,000","27,558",11.95%,23.24%,-4.96%,"2,755,800,000","1,842,968,808",,NZDJPY,USDJPY,AUDCHF,EURUSD,GBPAUD,EURNZD,EURCHF,
NZD,"100,000","92,661","5,340,424,074","44,307","2,553,589,638","19,594","1,959,400,000","24,713","2,471,300,000","-5,119",-5.52%,-11.55%,17.73%,"-511,900,000","-295,028,446",,16.50%,14.30%,11.70%,10.60%,10.50%,8.50%,2.80%,
CHF,"125,000","98,085","15,350,302,500","18,275","2,860,037,500","9,120","1,140,000,000","9,155","1,144,375,000",-35,-0.04%,-0.19%,2.57%,"-4,375,000","-5,477,500",,NZDUSD,NZDCHF,USDCHF,EURAUD,CADJPY,EURGBP,CADCHF,
JPY,"12,500,000","292,607","23,225,680,625","190,655","15,133,240,625","52,959","661,987,500,000","137,696","1,721,200,000,000","-84,737",-28.96%,-44.45%,8.48%,"-1,059,212,500,000","-6,725,999,375",,2.10%,-5.70%,-7.80%,-8.90%,-10.20%,-19.40%,-32.30%,
SP500 (E-MINI),"265,000","1,926,910","510,631,150,000","647,137","171,491,305,000","116,526","30,879,390,000","530,611","140,611,915,000",-414085,-21.49%,-63.99%,3.15%,"-109,732,525,000","-109,732,525,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","267,118","98,833,660,000","135,056","49,970,720,000","54,022","19,988,140,000","81,034","29,982,580,000",-27012,-10.11%,-20%,-3.76%,"-9,994,440,000","-9,994,440,000",,,,,,,,,
US30 (YM),"200,000","70,237","14,047,400,000","43,501","8,700,200,000","17,159","3,431,800,000","26,342","5,268,400,000",-9183,-13.07%,-21.11%,-1.59%,"-1,836,600,000","-1,836,600,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of January 13, 2026 - COT Leveraged Funds >>> valid for trades from January 19, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,860","29,868","2,952,750,480","26,627","2,632,345,220","11,659","1,152,608,740","14,968","1,479,736,480","-3,309",-11.08%,-12.43%,-14.98%,"-327,127,740","-327,127,740",,GBPCAD,GBPJPY,AUDCAD,AUDJPY,EURCAD,GBPNZD,EURJPY,
EUR,"125,000","883,672","128,394,227,830","181,850","26,422,123,062","103,621","12,952,625,000","78,229","9,778,625,000","25,392",2.87%,13.96%,-12.88%,"3,174,000,000","3,689,362,380",,47.80%,46.50%,41.80%,40.60%,34.70%,34.70%,33.40%,
GBP,"62,500","207,867","17,401,326,071","94,990","7,951,969,113","66,540","4,158,750,000","28,450","1,778,125,000","38,090",18.32%,40.10%,8.40%,"2,380,625,000","3,188,656,738",,AUDNZD,GBPUSD,CHFJPY,EURNZD,USDCAD,GBPCHF,AUDUSD,
CAD,"100,000","219,263","15,758,651,073","100,499","7,222,963,629","22,400","2,240,000,000","78,099","7,809,900,000","-55,699",-25.40%,-55.42%,8.62%,"-5,569,900,000","-4,003,142,829",,28.70%,26.30%,25.10%,21.60%,21.50%,21.40%,20.30%,
AUD,"100,000","229,456","15,340,969,248","107,139","7,163,099,262","68,678","6,867,800,000","38,461","3,846,100,000","30,217",13.17%,28.20%,-6.31%,"3,021,700,000","2,020,248,186",,USDJPY,AUDCHF,EURUSD,NZDCAD,NZDJPY,EURCHF,GBPAUD,
NZD,"100,000","85,211","4,882,419,878","34,611","1,983,141,078","12,239","1,223,900,000","22,372","2,237,200,000","-10,133",-11.89%,-29.28%,-1.52%,"-1,013,300,000","-580,600,634",,20.30%,15.50%,13.20%,13.10%,11.80%,8.40%,6.00%,
CHF,"125,000","96,220","15,005,749,550","20,699","3,228,060,798","10,064","1,258,000,000","10,635","1,329,375,000",-571,-0.59%,-2.76%,4%,"-71,375,000","-89,048,877",,CADJPY,USDCHF,EURAUD,NZDUSD,EURGBP,NZDCHF,CADCHF,
JPY,"12,500,000","294,242","23,245,118,000","186,388","14,724,652,000","43,869","548,362,500,000","142,519","1,781,487,500,000","-98,650",-33.53%,-52.93%,-13.17%,"-1,233,125,000,000","-7,793,350,000",,-1.20%,-4.80%,-7.10%,-8.40%,-13.10%,-13.30%,-26.30%,
SP500 (E-MINI),"265,000","1,909,351","505,978,015,000","664,298","176,038,970,000","109,159","28,927,135,000","555,139","147,111,835,000",-445980,-23.36%,-67.14%,-5.37%,"-118,184,700,000","-118,184,700,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","278,878","103,184,860,000","140,060","51,822,200,000","58,656","21,702,720,000","81,404","30,119,480,000",-22748,-8.16%,-16.24%,-2.96%,"-8,416,760,000","-8,416,760,000",,,,,,,,,
US30 (YM),"200,000","68,752","13,750,400,000","40,431","8,086,200,000","16,270","3,254,000,000","24,161","4,832,200,000",-7891,-11.48%,-19.52%,11.28%,"-1,578,200,000","-1,578,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of January 6, 2026 - COT Leveraged Funds >>> valid for trades from January 12, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Contract Value,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,270","30,078","2,955,765,060","30,030","2,951,048,100","15,398","1,513,161,460","14,632","1,437,886,640",766,2.55%,2.55%,2.56%,"75,274,820","75,274,820",,AUDCAD,GBPCAD,EURCAD,AUDJPY,GBPJPY,USDCAD,EURJPY,
EUR,"125,000","881,815","129,017,250,381","188,540","27,585,051,725","119,570","14,946,250,000","68,970","8,621,250,000","50,600",5.74%,26.84%,-0.84%,"6,325,000,000","7,403,222,750",,49.30%,47.90%,45.40%,37.10%,35.70%,33.30%,33.30%,
GBP,"62,500","206,314","17,327,797,075","91,321","7,669,822,488","60,134","3,758,375,000","31,187","1,949,187,500","28,947",14.03%,31.70%,2.17%,"1,809,187,500","2,431,186,163",,AUDNZD,GBPNZD,EURNZD,USDJPY,AUDCHF,GBPCHF,NZDCAD,
CAD,"100,000","218,740","15,912,241,300","89,156","6,485,653,220","16,030","1,603,000,000","73,126","7,312,600,000","-57,096",-26.10%,-64.04%,3.17%,"-5,709,600,000","-4,153,448,520",,31.10%,29.70%,27.30%,21.20%,20.60%,19.20%,18.10%,
AUD,"100,000","230,926","15,434,862,914","101,763","6,801,737,157","68,439","6,843,900,000","33,324","3,332,400,000","35,115",15.21%,34.51%,0.88%,"3,511,500,000","2,347,051,485",,EURCHF,CHFJPY,AUDUSD,GBPUSD,EURUSD,NZDJPY,USDCHF,
NZD,"100,000","84,556","4,866,705,136","38,209","2,199,157,204","13,802","1,380,200,000","24,407","2,440,700,000","-10,605",-12.54%,-27.76%,15.99%,"-1,060,500,000","-610,381,380",,16.80%,16.50%,16.00%,14.60%,12.10%,6.00%,4.70%,
CHF,"125,000","90,378","14,239,053,900","18,338","2,889,151,900","8,549","1,068,625,000","9,789","1,223,625,000","-1,240",-1.37%,-6.76%,18.42%,"-155,000,000","-195,362,000",,GBPAUD,EURGBP,EURAUD,NZDCHF,CADJPY,NZDUSD,CADCHF,
JPY,"12,500,000","287,715","22,909,306,875","159,026","12,662,445,250","47,898","598,725,000,000","111,128","1,389,100,000,000","-63,230",-21.98%,-39.76%,13.08%,"-790,375,000,000","-5,034,688,750",,-1.40%,-2.40%,-3.80%,-10.50%,-12.10%,-15.20%,-28.60%,
SP500 (E-MINI),"265,000","1,945,513","515,560,945,000","673,354","178,438,810,000","128,725","34,112,125,000","544,629","144,326,685,000",-415904,-21.38%,-61.77%,-5.65%,"-110,214,560,000","-110,214,560,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","274,253","101,473,610,000","138,923","51,401,510,000","60,236","22,287,320,000","78,687","29,114,190,000",-18451,-6.73%,-13.28%,4.58%,"-6,826,870,000","-6,826,870,000",,,,,,,,,
US30 (YM),"200,000","66,021","13,204,200,000","30,172","6,034,400,000","10,439","2,087,800,000","19,733","3,946,600,000",-9294,-14.08%,-30.80%,6.82%,"-1,858,800,000","-1,858,800,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of December 30, 2025 - COT Leveraged Funds >>> valid for trades from January 5, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,040","28,984","2,841,591,360","29,344","2,876,885,760","14,671","1,438,344,840","14,673","1,438,540,920",-2,-0.01%,-0.01%,8.54%,"-196,080","-196,080",,AUDCAD,GBPCAD,EURCAD,AUDJPY,GBPJPY,EURJPY,AUDNZD,
EUR,"125,000","869,169","127,905,823,579","190,256","27,997,835,140","121,459","15,182,375,000","68,797","8,599,625,000","52,662",6.06%,27.68%,-0.42%,"6,582,750,000","7,749,674,093",,50.40%,48.40%,47.40%,43.20%,41.20%,40.30%,38.70%,
GBP,"62,500","196,003","16,534,445,574","86,993","7,338,566,368","56,342","3,521,375,000","30,651","1,915,687,500","25,691",13.11%,29.53%,12.90%,"1,605,687,500","2,167,244,589",,GBPNZD,EURNZD,USDCAD,AUDCHF,GBPCHF,USDJPY,EURCHF,
CAD,"100,000","211,171","15,449,692,702","87,306","6,387,481,572","14,314","1,431,400,000","72,992","7,299,200,000","-58,678",-27.79%,-67.21%,10.46%,"-5,867,800,000","-4,292,999,836",,36.60%,35.70%,33.60%,29.40%,27.40%,26.40%,26.40%,
AUD,"100,000","223,804","15,026,424,364","100,133","6,723,029,753","66,902","6,690,200,000","33,231","3,323,100,000","33,671",15.04%,33.63%,-10.06%,"3,367,100,000","2,260,704,611",,AUDUSD,GBPUSD,EURUSD,CHFJPY,USDCHF,NZDCAD,NZDJPY,
NZD,"100,000","79,352","4,623,126,872","33,098","1,928,322,578","9,309","930,900,000","23,789","2,378,900,000","-14,480",-18.25%,-43.75%,-7.61%,"-1,448,000,000","-843,619,280",,16.80%,14.80%,13.80%,13.80%,12.60%,11.70%,4.50%,
CHF,"125,000","89,124","14,115,459,120","19,191","3,039,470,580","7,179","897,375,000","12,012","1,501,500,000","-4,833",-5.42%,-25.18%,-1.44%,"-604,125,000","-765,450,540",,EURGBP,GBPAUD,EURAUD,CADJPY,NZDCHF,CADCHF,NZDUSD,
JPY,"12,500,000","286,132","22,854,793,500","140,321","11,208,139,875","33,087","413,587,500,000","107,234","1,340,425,000,000","-74,147",-25.91%,-52.84%,-2.09%,"-926,837,500,000","-5,922,491,625",,-0.90%,-2.10%,-3.00%,-7.20%,-9.30%,-21.00%,-21.90%,
SP500 (E-MINI),"265,000","1,936,495","513,171,175,000","653,713","173,233,945,000","143,436","38,010,540,000","510,277","135,223,405,000",-366841,-18.94%,-56.12%,-9.06%,"-97,212,865,000","-97,212,865,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","276,539","102,319,430,000","143,752","53,188,240,000","59,039","21,844,430,000","84,713","31,343,810,000",-25674,-9.28%,-17.86%,-13.87%,"-9,499,380,000","-9,499,380,000",,,,,,,,,
US30 (YM),"200,000","61,375","12,275,000,000","27,787","5,557,400,000","8,667","1,733,400,000","19,120","3,824,000,000",-10453,-17.03%,-37.62%,10.37%,"-2,090,600,000","-2,090,600,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of December 16, 2025 - COT Leveraged Funds >>> valid for trades from December 22, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,150","26,994","2,649,461,100","25,813","2,533,545,950","11,803","1,158,464,450","14,010","1,375,081,500","-2,207",-8.18%,-8.55%,52.56%,"-216,617,050","-216,617,050",,AUDCAD,EURCAD,GBPCAD,AUDJPY,AUDNZD,EURJPY,USDCAD,
EUR,"125,000","986,986","144,810,585,920","182,573","26,787,110,560","116,937","14,617,125,000","65,636","8,204,500,000","51,301",5.20%,28.10%,20.47%,"6,412,625,000","7,526,882,720",,60.70%,52.90%,47.20%,47.20%,39.90%,39.40%,34.60%,
GBP,"62,500","282,031","23,563,161,242","87,470","7,307,954,494","51,009","3,188,062,500","36,461","2,278,812,500","14,548",5.16%,16.63%,8.44%,"909,250,000","1,215,458,123",,GBPJPY,AUDCHF,EURNZD,GBPNZD,AUDUSD,EURCHF,USDJPY,
CAD,"100,000","244,427","17,753,466,291","99,164","7,202,578,812","11,073","1,107,300,000","88,091","8,809,100,000","-77,018",-31.51%,-77.67%,-14.79%,"-7,701,800,000","-5,594,048,394",,33.70%,33.70%,32.10%,26.40%,26.10%,25.90%,21.10%,
AUD,"100,000","293,796","19,529,501,508","90,351","6,005,902,023","64,914","6,491,400,000","25,437","2,543,700,000","39,477",13.44%,43.69%,59.43%,"3,947,700,000","2,624,154,621",,NZDCAD,GBPCHF,EURUSD,CHFJPY,GBPUSD,USDCHF,NZDJPY,
NZD,"100,000","103,974","6,032,883,402","33,222","1,927,640,106","10,608","1,060,800,000","22,614","2,261,400,000","-12,006",-11.55%,-36.14%,-40.32%,"-1,200,600,000","-696,624,138",,20.80%,20.20%,18.30%,13.50%,12.60%,7.60%,7.30%,
CHF,"125,000","103,436","16,240,227,770","18,319","2,876,220,393","6,985","873,125,000","11,334","1,416,750,000","-4,349",-4.20%,-23.74%,-12.59%,"-543,625,000","-682,825,617",,EURGBP,NZDCHF,EURAUD,GBPAUD,CADJPY,NZDUSD,CADCHF,
JPY,"12,500,000","379,679","30,421,779,875","162,846","13,048,035,750","40,103","501,287,500,000","122,743","1,534,287,500,000","-82,640",-21.77%,-50.75%,-9.18%,"-1,033,000,000,000","-6,621,530,000",,5.70%,-6.20%,-7.80%,-13.50%,-13.50%,-13.80%,-27.00%,
SP500 (E-MINI),"265,000","2,466,313","653,572,945,000","827,013","219,158,445,000","218,923","58,014,595,000","608,090","161,143,850,000",-389167,-15.78%,-47.06%,0.19%,"-103,129,255,000","-103,129,255,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","378,693","140,116,410,000","174,726","64,648,620,000","83,876","31,034,120,000","90,850","33,614,500,000",-6974,-1.84%,-3.99%,-11.57%,"-2,580,380,000","-2,580,380,000",,,,,,,,,
US30 (YM),"200,000","90,249","18,049,800,000","38,509","7,701,800,000","10,014","2,002,800,000","28,495","5,699,000,000",-18481,-20.48%,-47.99%,5%,"-3,696,200,000","-3,696,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of November 18, 2025 - COT Leveraged Funds >>> valid for trades from November 24, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"99,590","44,403","4,422,094,770","38,190","3,803,342,100","7,427","739,654,930","30,763","3,063,687,170","-23,336",-52.56%,-61.11%,-4.61%,"-2,324,032,240","-2,324,032,240",,GBPCAD,EURCAD,GBPUSD,EURUSD,NZDCAD,NZDUSD,GBPJPY,
EUR,"125,000","827,015","120,075,341,619","162,701","23,622,761,566","87,561","10,945,125,000","75,140","9,392,500,000","12,421",1.50%,7.63%,-1.08%,"1,552,625,000","1,803,420,516",,35.50%,35.30%,34.70%,34.40%,33.50%,32.60%,24.90%,
GBP,"62,500","279,341","22,975,971,838","106,533","8,762,405,833","57,629","3,601,812,500","48,904","3,056,500,000","8,725",3.12%,8.19%,-25.08%,"545,312,500","717,636,703",,EURJPY,AUDCAD,NZDJPY,AUDUSD,CHFJPY,AUDJPY,GBPAUD,
CAD,"100,000","278,400","19,859,942,400","115,084","8,209,632,224","21,358","2,135,800,000","93,726","9,372,600,000","-72,368",-25.99%,-62.88%,-9.58%,"-7,236,800,000","-5,162,443,648",,24.60%,23.60%,22.90%,22.70%,15.20%,12.90%,12.00%,
AUD,"100,000","179,341","11,716,347,530","78,941","5,157,215,530","33,257","3,325,700,000","45,684","4,568,400,000","-12,427",-6.93%,-15.74%,1.40%,"-1,242,700,000","-811,855,910",,EURAUD,GBPCHF,EURCHF,NZDCHF,GBPNZD,EURNZD,USDCAD,
NZD,"100,000","103,502","5,875,084,026","50,595","2,871,923,985","26,356","2,635,600,000","24,239","2,423,900,000","2,117",2.05%,4.18%,-6.16%,"211,700,000","120,167,271",,11.70%,9.70%,9.40%,7.70%,2.00%,1.70%,0.90%,
CHF,"125,000","76,329","12,012,276,375","15,349","2,415,548,875","6,819","852,375,000","8,530","1,066,250,000","-1,711",-2.24%,-11.15%,-1.64%,"-213,875,000","-269,268,625",,EURGBP,AUDCHF,USDJPY,AUDNZD,CADJPY,USDCHF,CADCHF,
JPY,"12,500,000","329,456","26,644,754,000","151,896","12,284,589,000","44,380","554,750,000,000","107,516","1,343,950,000,000","-63,136",-19.16%,-41.57%,-4.45%,"-789,200,000,000","-5,106,124,000",,-0.30%,-2.30%,-9.80%,-10.00%,-10.70%,-25.00%,-25.90%,
SP500 (E-MINI),"265,000","2,037,320","539,889,800,000","759,665","201,311,225,000","200,379","53,100,435,000","559,286","148,210,790,000",-358907,-17.62%,-47.25%,13.48%,"-95,110,355,000","-95,110,355,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","299,587","110,847,190,000","137,045","50,706,650,000","73,714","27,274,180,000","63,331","23,432,470,000",10383,3.47%,7.58%,-1.35%,"3,841,710,000","3,841,710,000",,,,,,,,,
US30 (YM),"200,000","82,876","16,575,200,000","40,728","8,145,600,000","9,574","1,914,800,000","31,154","6,230,800,000",-21580,-26.04%,-52.99%,-1.63%,"-4,316,000,000","-4,316,000,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of October 28, 2025 - COT Leveraged Funds >>> valid for trades from November 3, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,780","34,998","3,457,102,440","27,050","2,671,999,000","5,884","581,221,520","21,166","2,090,777,480","-15,282",-43.67%,-56.50%,-6.83%,"-1,509,555,960","-1,509,555,960",,GBPUSD,GBPCAD,GBPJPY,NZDUSD,EURUSD,NZDCAD,EURCAD,
EUR,"125,000","843,717","122,673,287,861","199,189","28,961,333,641","108,266","13,533,250,000","90,923","11,365,375,000","17,343",2.06%,8.71%,-2.34%,"2,167,875,000","2,521,607,164",,44.90%,43.30%,35.20%,33.40%,32.60%,31.80%,31.00%,
GBP,"62,500","248,118","20,659,545,270","121,411","10,109,286,915","80,902","5,056,375,000","40,509","2,531,812,500","40,393",16.28%,33.27%,2.45%,"2,524,562,500","3,363,323,145",,GBPAUD,NZDJPY,EURJPY,GBPCHF,AUDUSD,AUDCAD,CHFJPY,
